((1/(2+3))*40) 8/1
(((1/2)+3)*40) 140/1
(1+(2-(3*40))) -117/1
(1+((2-3)*40)) -39/1
((1+2)-(3*40)) -117/1
((1+(2-3))*40) 0/1
(((1+2)-3)*40) 0/1
(1-(2-(3*40))) 119/1
(1-((2-3)*40)) 41/1
((1-2)-(3*40)) -121/1
((1-(2-3))*40) 80/1
(((1-2)-3)*40) -160/1
(1*(2-(3*40))) -118/1
(1*((2-3)*40)) -40/1
((1*2)-(3*40)) -118/1
((1*(2-3))*40) -40/1
(((1*2)-3)*40) -40/1
(1/(2-(3*40))) -1/118
(1/((2-3)*40)) -1/40
((1/2)-(3*40)) -239/2
((1/(2-3))*40) -40/1
(((1/2)-3)*40) -100/1
(1+(2*(3*40))) 241/1
(1+((2*3)*40)) 241/1
((1+2)*(3*40)) 360/1
((1+(2*3))*40) 280/1
(((1+2)*3)*40) 360/1
(1-(2*(3*40))) -239/1
(1-((2*3)*40)) -239/1
((1-2)*(3*40)) -120/1
((1-(2*3))*40) -200/1
(((1-2)*3)*40) -120/1
(1*(2*(3*40))) 240/1
(1*((2*3)*40)) 240/1
((1*2)*(3*40)) 240/1
((1*(2*3))*40) 240/1
(((1*2)*3)*40) 240/1
(1/(2*(3*40))) 1/240
(1/((2*3)*40)) 1/240
((1/2)*(3*40)) 60/1
((1/(2*3))*40) 20/3
(((1/2)*3)*40) 60/1
(1+(2/(3*40))) 61/60
(1+((2/3)*40)) 83/3
((1+2)/(3*40)) 1/40
((1+(2/3))*40) 200/3
(((1+2)/3)*40) 40/1
(1-(2/(3*40))) 59/60
(1-((2/3)*40)) -77/3
((1-2)/(3*40)) -1/120
((1-(2/3))*40) 40/3
(((1-2)/3)*40) -40/3
(1*(2/(3*40))) 1/60
(1*((2/3)*40)) 80/3
((1*2)/(3*40)) 1/60
((1*(2/3))*40) 80/3
(((1*2)/3)*40) 80/3
(1/(2/(3*40))) 60/1
(1/((2/3)*40)) 3/80
((1/2)/(3*40)) 1/240
((1/(2/3))*40) 60/1
(((1/2)/3)*40) 20/3
(1+(2+(3/40))) 123/40
(1+((2+3)/40)) 9/8
((1+2)+(3/40)) 123/40
((1+(2+3))/40) 3/20
(((1+2)+3)/40) 3/20
(1-(2+(3/40))) -43/40
(1-((2+3)/40)) 7/8
((1-2)+(3/40)) -37/40
((1-(2+3))/40) -1/10
(((1-2)+3)/40) 1/20
(1*(2+(3/40))) 83/40
(1*((2+3)/40)) 1/8
((1*2)+(3/40)) 83/40
((1*(2+3))/40) 1/8
(((1*2)+3)/40) 1/8
(1/(2+(3/40))) 40/83
(1/((2+3)/40)) 8/1
((1/2)+(3/40)) 23/40
((1/(2+3))/40) 1/200
(((1/2)+3)/40) 7/80
(1+(2-(3/40))) 117/40
(1+((2-3)/40)) 39/40
((1+2)-(3/40)) 117/40
((1+(2-3))/40) 0/1
(((1+2)-3)/40) 0/1
(1-(2-(3/40))) -37/40
(1-((2-3)/40)) 41/40
((1-2)-(3/40)) -43/40
((1-(2-3))/40) 1/20
(((1-2)-3)/40) -1/10
(1*(2-(3/40))) 77/40
(1*((2-3)/40)) -1/40
((1*2)-(3/40)) 77/40
((1*(2-3))/40) -1/40
(((1*2)-3)/40) -1/40
(1/(2-(3/40))) 40/77
(1/((2-3)/40)) -40/1
((1/2)-(3/40)) 17/40
((1/(2-3))/40) -1/40
(((1/2)-3)/40) -1/16
(1+(2*(3/40))) 23/20
(1+((2*3)/40)) 23/20
((1+2)*(3/40)) 9/40
((1+(2*3))/40) 7/40
(((1+2)*3)/40) 9/40
(1-(2*(3/40))) 17/20
(1-((2*3)/40)) 17/20
((1-2)*(3/40)) -3/40
((1-(2*3))/40) -1/8
(((1-2)*3)/40) -3/40
(1*(2*(3/40))) 3/20
(1*((2*3)/40)) 3/20
((1*2)*(3/40)) 3/20
((1*(2*3))/40) 3/20
(((1*2)*3)/40) 3/20
(1/(2*(3/40))) 20/3
(1/((2*3)/40)) 20/3
((1/2)*(3/40)) 3/80
((1/(2*3))/40) 1/240
(((1/2)*3)/40) 3/80
(1+(2/(3/40))) 83/3
(1+((2/3)/40)) 61/60
((1+2)/(3/40)) 40/1
((1+(2/3))/40) 1/24
(((1+2)/3)/40) 1/40
(1-(2/(3/40))) -77/3
(1-((2/3)/40)) 59/60
((1-2)/(3/40)) -40/3
((1-(2/3))/40) 1/120
(((1-2)/3)/40) -1/120
(1*(2/(3/40))) 80/3
(1*((2/3)/40)) 1/60
((1*2)/(3/40)) 80/3
((1*(2/3))/40) 1/60
(((1*2)/3)/40) 1/60
(1/(2/(3/40))) 3/80
(1/((2/3)/40)) 60/1
((1/2)/(3/40)) 20/3
((1/(2/3))/40) 3/80
(((1/2)/3)/40) 1/240
(1234+0) 1234/1
(1234-0) 1234/1
(1234*0) 0/1
(1+(234+0)) 235/1
((1+234)+0) 235/1
(1-(234+0)) -233/1
((1-234)+0) -233/1
(1*(234+0)) 234/1
((1*234)+0) 234/1
(1/(234+0)) 1/234
((1/234)+0) 1/234
(1+(234-0)) 235/1
((1+234)-0) 235/1
(1-(234-0)) -233/1
((1-234)-0) -233/1
(1*(234-0)) 234/1
((1*234)-0) 234/1
(1/(234-0)) 1/234
((1/234)-0) 1/234
(1+(234*0)) 1/1
((1+234)*0) 0/1
(1-(234*0)) 1/1
((1-234)*0) 0/1
(1*(234*0)) 0/1
((1*234)*0) 0/1
((1/234)*0) 0/1
(12+(34+0)) 46/1
((12+34)+0) 46/1
(12-(34+0)) -22/1
((12-34)+0) -22/1
(12*(34+0)) 408/1
((12*34)+0) 408/1
(12/(34+0)) 6/17
((12/34)+0) 6/17
(12+(34-0)) 46/1
((12+34)-0) 46/1
(12-(34-0)) -22/1
((12-34)-0) -22/1
(12*(34-0)) 408/1
((12*34)-0) 408/1
(12/(34-0)) 6/17
((12/34)-0) 6/17
(12+(34*0)) 12/1
((12+34)*0) 0/1
(12-(34*0)) 12/1
((12-34)*0) 0/1
(12*(34*0)) 0/1
((12*34)*0) 0/1
((12/34)*0) 0/1
(1+(2+(34+0))) 37/1
(1+((2+34)+0)) 37/1
((1+2)+(34+0)) 37/1
((1+(2+34))+0) 37/1
(((1+2)+34)+0) 37/1
(1-(2+(34+0))) -35/1
(1-((2+34)+0)) -35/1
((1-2)+(34+0)) 33/1
((1-(2+34))+0) -35/1
(((1-2)+34)+0) 33/1
(1*(2+(34+0))) 36/1
(1*((2+34)+0)) 36/1
((1*2)+(34+0)) 36/1
((1*(2+34))+0) 36/1
(((1*2)+34)+0) 36/1
(1/(2+(34+0))) 1/36
(1/((2+34)+0)) 1/36
((1/2)+(34+0)) 69/2
((1/(2+34))+0) 1/36
(((1/2)+34)+0) 69/2
(1+(2-(34+0))) -31/1
(1+((2-34)+0)) -31/1
((1+2)-(34+0)) -31/1
((1+(2-34))+0) -31/1
(((1+2)-34)+0) -31/1
(1-(2-(34+0))) 33/1
(1-((2-34)+0)) 33/1
((1-2)-(34+0)) -35/1
((1-(2-34))+0) 33/1
(((1-2)-34)+0) -35/1
(1*(2-(34+0))) -32/1
(1*((2-34)+0)) -32/1
((1*2)-(34+0)) -32/1
